Common Name,Scientific Name,stateProvince,locality,decimalLatitude,decimalLongitude,Matched_Suburb,Matched_Postcode
Bermuda Grass,Cynodon dactylon,Victoria,DOUGLAS (561311) 3846 m from Douglas 355 deg,-37.06858,141.73255,DOUGLAS,3409
Bermuda Grass,Cynodon dactylon,Victoria,M3521100 Centre about 2 km SSE of DURHAM OX,-36.13611,143.93083,DURHAM OX,3576
Bermuda Grass,Cynodon dactylon,Victoria,E0306400 Centre about 1 km SSE of MOUNT WAVERLEY,-37.88139,145.13417,PINEWOOD,3149
Bermuda Grass,Cynodon dactylon,Victoria,N2302700 Centre about 4 km NNE of MOOLAP,-38.14722,144.43667,MOOLAP,3224
Bermuda Grass,Cynodon dactylon,Victoria,T2476500 Centre about 3 km NNE of CRANBOURNE,-38.08083,145.30028,FOUNTAIN GATE,3805
Bermuda Grass,Cynodon dactylon,Victoria,T2459000 Centre about 3 km WSW of ARDEER,-37.79694,144.76806,DEER PARK NORTH,3023
Bermuda Grass,Cynodon dactylon,Victoria,C0109100 Centre about 3 km SW of DEPTFORD,-37.615,147.66806,RYANS,3875
Bermuda Grass,Cynodon dactylon,Victoria,Truganina cemetary GAA,-37.82565,144.71998,TRUGANINA,3029
Bermuda Grass,Cynodon dactylon,Victoria,"Furness Park Off Main St and Heath St, Blackburn",-37.82661,145.15047,BLACKBURN NORTH,3130
Bermuda Grass,Cynodon dactylon,Victoria,T4006700 Centre about 499 m S of SANDRINGHAM,-37.95333,145.00472,SANDRINGHAM,3191
Bermuda Grass,Cynodon dactylon,Victoria,LANGKOOP (561137) 5538 m from Langkoop 344 deg,-37.14766,141.05204,KADNOOK,3318
Bermuda Grass,Cynodon dactylon,Victoria,Mickleham Road Road Reserve of Mickleham Road,-37.55966,144.87687,YUROKE,3063
Bermuda Grass,Cynodon dactylon,Victoria,GOORAM (583993) 3923 m from Gooram 259 deg,-36.89312,145.62968,RUFFY,3666
Bermuda Grass,Cynodon dactylon,Victoria,M3106600 Centre about 6 km WNW of KULKYNE,-34.59417,142.37222,NANGILOC,3494
Bermuda Grass,Cynodon dactylon,Victoria,T2497800 Centre about 3 km NNW of CRANBOURNE,-38.08028,145.26111,HAMPTON PARK,3976
Bermuda Grass,Cynodon dactylon,Victoria,E0043200 Centre about 199 m N of LYNDHURST,-38.04556,145.24444,LYNDHURST,3975
Bermuda Grass,Cynodon dactylon,Victoria,Wurundjeri Walk and Wetland (Orchard Grove Reserve) Blackburn South,-37.84149,145.14289,BURWOOD HEIGHTS,3151
Bermuda Grass,Cynodon dactylon,Victoria,E0045800 Centre about 1 km SW of HOVELL PARK,-38.05333,144.39972,POINT WILSON,3212
Bermuda Grass,Cynodon dactylon,Victoria,T2455900 Centre about 1 km NNE of WATSONIA,-37.6975,145.09,WATSONIA,3087
Bermuda Grass,Cynodon dactylon,Victoria,E1210600 Centre about 2 km ENE of RIDDELLS CREEK,-37.45806,144.69472,RIDDELLS CREEK,3431
Bermuda Grass,Cynodon dactylon,Victoria,T3290400 Centre about 8 km SSW of NEWLANDS ARM,-37.99833,147.66694,BANKSIA PENINSULA,3875
Bermuda Grass,Cynodon dactylon,Victoria,Site 18 Hattah-Kulkyne National Park lake system,-34.78472,142.46511,TORRITA,3490
Bermuda Grass,Cynodon dactylon,Victoria,T0760600 Centre about 1 km SSE of GLENROY,-37.71278,144.92972,GLENROY,3046
Bermuda Grass,Cynodon dactylon,Victoria,B1856100 Centre about 2 km WNW of YARRAMBAT,-37.62778,145.11444,YARRAMBAT,3091
Bermuda Grass,Cynodon dactylon,Victoria,M1700900 Centre about 7 km N of CRAMENTON,-34.76778,142.39667,TORRITA,3490
Bermuda Grass,Cynodon dactylon,Victoria,T2523300 Centre about 1 km NE of LAVERTON,-37.86056,144.78083,LAVERTON,3028
Bermuda Grass,Cynodon dactylon,Victoria,T0605700 Centre about 2 km ESE of NOBLE PARK,-37.97528,145.19417,NOBLE PARK EAST,3174
Bermuda Grass,Cynodon dactylon,Victoria,"Taylors Road, Caroline Springs Outer suburban Melbourne",-37.72176,144.73141,FRASER RISE,3336
Bermuda Grass,Cynodon dactylon,Victoria,S1315600 Centre about 5 km S of ROCHESTER,-36.40472,144.68278,BONN,3561
Bermuda Grass,Cynodon dactylon,Victoria,E0315000 Centre about 2 km SE of SOMERTON,-37.64639,144.97083,CAMPBELLFIELD,3061
Bermuda Grass,Cynodon dactylon,Victoria,T0605400 Centre about 2 km NNE of LAVERTON,-37.85,144.78333,LAVERTON NORTH,3026
Bermuda Grass,Cynodon dactylon,Victoria,S1809000 Centre about 2 km SSW of WILKIN,-37.73333,141.21667,BAHGALLAH,3312
Bermuda Grass,Cynodon dactylon,Victoria,T0061300 Centre about 1 km SE of LILYDALE,-37.765,145.35917,LILYDALE,3140
Bermuda Grass,Cynodon dactylon,Victoria,S1419800 Centre about 2 km NNE of MOUNT COTTRELL,-37.75917,144.62417,FIELDSTONE,3024
Bermuda Grass,Cynodon dactylon,Victoria,U0219900 Centre about 444 m S of BLACK ROCK,-37.98111,145.02639,BLACK ROCK NORTH,3193
Bermuda Grass,Cynodon dactylon,Victoria,T0218100 Centre about 1 km NNE of BELL POST HILL,-38.09083,144.33306,DRUMCONDRA,3215
Bermuda Grass,Cynodon dactylon,Victoria,T0368700 Centre about 458 m W of HEIDELBERG WEST,-37.74472,145.04167,HEIDELBERG WEST,3081
Bermuda Grass,Cynodon dactylon,Victoria,"Booringa Road, Princeton 10km ESE of Port Campbell",-38.65528,143.10583,PRINCETOWN,3269
Bermuda Grass,Cynodon dactylon,Victoria,"The Heart Morass DC5 Wet Trust property, The Heart Morass, SE of Sale",-38.1423,147.10287,EAST SALE RAAF,3852
Bermuda Grass,Cynodon dactylon,Victoria,E0502700 Centre about 3 km NNW of YAN YEAN,-37.54472,145.08889,WOODSTOCK,3751
